Autore,Titolo,Datazione,Tecnica,Dimensioni,Immagine
GABINIO MARIO,TORINO - MONUMENTO A CARLO ALBERTO - PIAZZA CARLO ALBERTO - VISTA LATERALE DESTRA,19/10/1923,STAMPA ALLA CELLOIDINA,229X169,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/001B1.jpg
GABINIO MARIO,TORINO - MONUMENTO A CARLO ALBERTO - PIAZZA CARLO ALBERTO - VISTA DI 3/4 POSTERIORE,25/07/1924,STAMPA ALLA CELLOIDINA,230X170,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/001B2.jpg
GABINIO MARIO,TORINO - MONUMENTO A CARLO ALBERTO - PIAZZA CARLO ALBERTO - VISTA DI 3/4 POSTERIORE,1925c,STAMPA ALLA GELATINA BROMURO D'ARGENTO,230X171,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/001B3.jpg
GABINIO MARIO,TORINO - MONUMENTO A CARLO ALBERTO - PIAZZA CARLO ALBERTO - VISTA DI 3/4 POSTERIORE,1925c,STAMPA ALLA GELATINA BROMURO D'ARGENTO,230X170,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/001B4.jpg
GABINIO MARIO,TORINO - CHIESA DELLA MADONNA DEL PILONE,30/09/1926,STAMPA AL CITRATO,227X165,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/001P1.jpg
GABINIO MARIO,TORINO - CHIESA DELLA MADONNA DEL PILONE,30/09/1926,STAMPA ALLA GELATINA BROMURO D'ARGENTO,229X166,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/001P2.jpg
GABINIO MARIO,TORINO - PALAZZO BAROLO - VIA DELLE ORFANE 7 - ATRIO - PORTA AI PIEDI DELLO SCALONE,1925c,"STAMPA ALLA GELATINA BROMURO D'ARGENTO BARNET NORMAL""""",229X170,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/001P3.jpg
GABINIO MARIO,TORINO - CHIESA DI SAN DALMAZZO - VIA GARIBALDI - FACCIATA - PARTICOLARE COL PORTALE,19/10/1923,STAMPA AL CITRATO,228X166,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/001P4.jpg
GABINIO MARIO,TORINO - MONUMENTO A DON BOSCO - PIAZZA MARIA AUSILIATRICE - VISTA FRONTALE,03/05/1924,STAMPA ALLA CELLOIDINA,170X230,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/002B1.jpg
GABINIO MARIO,TORINO - MONUMENTO A DON BOSCO - PIAZZA MARIA AUSILIATRICE - PARTICOLARE,1924c,STAMPA ALLA GELATINA BROMURO D'ARGENTO,229X169,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/002B10.jpg
GABINIO MARIO,TORINO - MONUMENTO A DON BOSCO - PIAZZA MARIA AUSILIATRICE - PARTICOLARE,1924c,STAMPA ALLA GELATINA BROMURO D'ARGENTO,229X169,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/002B11.jpg
GABINIO MARIO,TORINO - MONUMENTO A DON BOSCO - PIAZZA MARIA AUSILIATRICE - VEDUTA NOTTURNA CON LUMINARIE,1924c,STAMPA ALLA GELATINA BROMURO D'ARGENTO,230X173,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/002B12.jpg
GABINIO MARIO,TORINO - MONUMENTO A DON BOSCO - PIAZZA MARIA AUSILIATRICE - VEDUTA NOTTURNA CON LUMINARIE,1924c,STAMPA ALLA GELATINA BROMURO D'ARGENTO,233X170,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/002B13.jpg
GABINIO MARIO,TORINO - MONUMENTO A DON BOSCO - PIAZZA MARIA AUSILIATRICE - VISTA FRONTALE,23/11/1923,STAMPA AL CITRATO,167X230,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/002B2.jpg
GABINIO MARIO,TORINO - MONUMENTO A DON BOSCO - PIAZZA MARIA AUSILIATRICE - VISTA FRONTALE,24/06/1924,STAMPA AL CITRATO,169X225,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/002B3.jpg
GABINIO MARIO,TORINO - MONUMENTO A DON BOSCO - PIAZZA MARIA AUSILIATRICE - VISTA FRONTALE,24/06/1924,STAMPA AL CITRATO,169X227,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/002B4.jpg
GABINIO MARIO,TORINO - MONUMENTO A DON BOSCO - PIAZZA MARIA AUSILIATRICE - VISTA FRONTALE,1924c,STAMPA ALLA GELATINA BROMURO D'ARGENTO,170X229,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/002B5.jpg
GABINIO MARIO,TORINO - MONUMENTO A DON BOSCO - PIAZZA MARIA AUSILIATRICE - VISTA FRONTALE,1924c,STAMPA ALLA GELATINA BROMURO D'ARGENTO,170X228,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/002B6.jpg
GABINIO MARIO,TORINO - MONUMENTO A DON BOSCO - PIAZZA MARIA AUSILIATRICE - VISTA DI 3/4 ANTERIORE,1924c,STAMPA ALLA GELATINA BROMURO D'ARGENTO,169X227,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/002B7.jpg
GABINIO MARIO,TORINO - MONUMENTO A DON BOSCO - PIAZZA MARIA AUSILIATRICE - VISTA DI 3/4 ANTERIORE,1924c,STAMPA ALLA GELATINA BROMURO D'ARGENTO,167X230,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/002B8.jpg
GABINIO MARIO,TORINO - MONUMENTO A DON BOSCO - PIAZZA MARIA AUSILIATRICE - VISTA DI 3/4 ANTERIORE,1924c,STAMPA ALLA GELATINA BROMURO D'ARGENTO,169X230,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/002B9.jpg
GABINIO MARIO,TORINO - PIAZZA SAVOIA - VEDUTA CON L'OBELISCO DEL 1853,1920c,STAMPA AL CITRATO,81X117,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/002P7.jpg
GABINIO MARIO,TORINO? - VEDUTA DI VIA NON IDENTIFICATA CON L'OSTERIA PERSICO REALE,07/10/1925,STAMPA ALLA CELLOIDINA?,123X167,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/002P8.jpg
GABINIO MARIO,"TORINO -/M.TO ALL'ARTIGLIERIA/ (FRONTE)"". TORINO - MONUMENTO ALL'ARTIGLIERIA - PARCO DEL VALENTINO""",1930post,STAMPA ALLA GELATINA BROMURO D'ARGENTO,227X170,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/003B1.jpg
GABINIO MARIO,TORINO - MONUMENTO ALL'ARTIGLIERIA - PARCO DEL VALENTINO - LATO DESTRO - PARTICOLARE DELL FONTANA CON BAMBINA SEDUTA,1930post,STAMPA ALLA GELATINA BROMURO D'ARGENTO,230X170,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/003B10.jpg
GABINIO MARIO,TORINO - MONUMENTO ALL'ARTIGLIERIA - PARCO DEL VALENTINO - LATO DESTRO - PARTICOLARE DELL FONTANA CON BAMBINA SEDUTA,1930post,STAMPA ALLA GELATINA CLORURO D'ARGENTO,229X169,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/003B11.jpg
GABINIO MARIO,TORINO - MONUMENTO ALL'ARTIGLIERIA - PARCO DEL VALENTINO - VISTA FRONTALE,1930post,STAMPA ALLA GELATINA BROMURO D'ARGENTO,220X170,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/003B2.jpg
GABINIO MARIO,"IL MONUMENTO ALL'ARTIGLIERE"" . TORINO - MONUMENTO ALL'ARTIGLIERIA - PARCO DEL VALENTINO""",1930post,STAMPA ALLA GELATINA BROMURO D'ARGENTO,226X170,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/003B3.jpg
GABINIO MARIO,"TORINO/M.TO ALL'ARTIGLIERIA/(RETRO)"" . TORINO - MONUMENTO ALL'ARTIGLIERIA - PARCO DEL VALENTINO - VISTA POSTERIORE""",1930post,STAMPA ALLA GELATINA BROMURO D'ARGENTO,225X170,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/003B4.jpg
GABINIO MARIO,TORINO - MONUMENTO ALL'ARTIGLIERIA - PARCO DEL VALENTINO - LATO SINISTRO - PARTICOLARE,1930post,STAMPA ALLA GELATINA BROMURO D'ARGENTO,221X168,http://opendata.fondazionetorinomusei.it/dataset/immagini/gabinio/003B5.jpg
