Autore,Titolo,Datazione,Tecnica,Dimensioni,Immagine
"","Vajradhara","XV-XVI secolo","fusione in bronzo - doratura - pigmenti e turchesi ","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/867_Hb10.jpg"
"","Sitatārā","XVI secolo","fusione in bronzo - doratura - pigmento e turchesi","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/868_Hb11.jpg"
"","Buddha Śākyamuni","XVI secolo","fusione in lega di rame - oro freddo e pigmento","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/869_Hb12.jpg"
"","Amitāyus","XVII secolo - seconda metà","fusione in lega di rame - doratura e pietre semipreziose","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/870_Hb13.jpg"
"","Guhyasamāja Mañjuvajra","XVIII secolo","fusione in lega di rame - doratura e pigmenti","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/871_Hb14.jpg"
"","Vajrahumkara","XVIII secolo","fusione in lega di rame - parziale doratura - tracce di pigmenti","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/872_Hb15.jpg"
"","Mahācakra Vajrapāṇi","XVIII secolo","fusione in lega di rame - parziale doratura - pigmenti  e turchesi","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/873_873_Hb16.jpg"
"","Dam-can rDo-rje-legs-pa","XVIII secolo","fusione di lega in rame - doratura a fuoco e pigmento","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/874_Hb17.jpg"
"","Hayagrīva","XVII secolo","fusione in bronzo - parziale doratura - pigmento rosso","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/875_Hb18.jpg"
"","Mahākāla","XVII secolo","fusione in bronzo - doratura e pigmento rosso","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/876_Hb19.jpg"
"","Stupa bKa'-gdams-pa ","XIII-XIV secolo","fusione in bronzo","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/877_Hb02.jpg"
"","Śrīmatī (dPal-ldan dMag-zor-rgyal-mo)","XVIII secolo","fusione di lega in rame - doratura a fuoco - pigmento rosso e lapislazzuli","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/878_Hb20.jpg"
"","dPal-ldan-lha-mo","XVIII secolo","fusione in lega di rame - doratura e pigmento rosso","","http://opendata.fondazionetorinomusei.it/dataset/immagini/mao/879_Hb21.jpg"
