Inventario,Autore,Ambito culturale,Datazione,Titolo,Materiali,Immagine
0449/M,Maestro di Willem Van Bossuyt,bottega francese,XV secolo,Libro d’ore con calendario di Bruges e legatura ottocentesca.,tempera - inchiostro su pergamena - oro - velluto di seta tagliato unito - legno,http://93.62.170.226/foto/Legature.jpg
399,De Lonhy Antoine,,XV secolo,Libro d’ore all’uso di Chalon-sur-Saône con miniature di Antoine de Lonhy e legatura ottocentesca,tempera su pergamena - velluto di seta cesellato - argento,http://93.62.170.226/foto/Legature.jpg
0450/M,,scuola francese,XV secolo,Petites heures con legatura ottocentesca,velluto - legno - lega metallica - tempera - inchiostro su pergamena,http://93.62.170.226/foto/Legature.jpg
0009/LIB,,Venezia,1520,Rilegatura moderna su Albius Tibullus - Valerius Catullus - Propertius,cartone - carta - inchiostro su carta,http://93.62.170.226/foto/Legature.jpg
398,Maestro del Principe di Piemonte,,XV secolo,Libro d’ore all’uso di Chalon-sur-Saône con miniature di Antoine de Lonhy e legatura ottocentesca,pergamena - tempera,http://93.62.170.226/foto/Legature.jpg
1110/B,Ignoto,,inizio XVI secolo,Abramo con tre angeli,bronzo,http://93.62.170.226/foto/1110_B.jpg
1159/B,Galeazzo Mondella detto Moderno,,1490 ca.,Adorazione dei Magi,bronzo,http://93.62.170.226/foto/1159_B.jpg
1210/B,Galeazzo Mondella detto Moderno,,1490 ca.,Adorazione dei Magi,bronzo,http://93.62.170.226/foto/1210_B.jpg
1230/B,Galeazzo Mondella detto Moderno,,1490 ca.,Adorazione dei Magi.,piombo,http://93.62.170.226/foto/1230_B.jpg
1135/B,Bernardi (?) Giovanni,,1496 - 1553,Adorazione dei pastori,Piombo (?),http://93.62.170.226/foto/1135_B.jpg
1243/B,Belli Valerio,,1468 - 1546,Adorazione dei pastori.,bronzo dorato,http://93.62.170.226/foto/1243_B.jpg
2323/DS,Juvarra Filippo,,XVIII,Allegoria,penna su carta - inchiostro su carta,http://93.62.170.226/foto/Filippo Juvarra Volume IV 0074.jpg
1196/B,Ignoto,,inizio XIX secolo (?),Allegoria della Temperanza,piombo o peltro (?),http://93.62.170.226/foto/1196_B.jpg
1231/B,(Giovanni Fondulini Fonduli?) Maestro IO.F.F.,,fine XV secolo,Allegoria dell'Unione.,bronzo,http://93.62.170.226/foto/1231_B.jpg
1156/B,Briosco - detto il Riccio Andrea,,1470 ca. - 1532,Allegoria di Spirito e Materia,bronzo,http://93.62.170.226/foto/1156_B.jpg
1187/B,Briosco detto il Riccio Andrea,,1470 ca. - 1532,Allegoria di Spirito e Materia,bronzo,http://93.62.170.226/foto/1187_B part.jpg
0110/CU,,arte francese,inizio XVI secolo,Amore e figura virile entro clipeo / due teste di guerriero / motivi a desinenza zoomorfa / stemma,legno - pelle incisa - cesellata - dorata e dipinta,http://93.62.170.226/foto/CU110quater.jpg
1257/B,Scuola dell'Italia del Nord,,metà XV secolo - prima del 1471,Amorini che giocano.,bronzo,http://93.62.170.226/foto/1257_B.jpg
1307/B,Ignoto,,XVII secolo (?),Amorini.,bronzo dorato,http://93.62.170.226/foto/1307_B.jpg
1109/B,Ignoto,,XIX secolo seconda metà (?),Angelo annunciante,Rame e bronzo dorato (?),http://93.62.170.226/foto/1109_B.jpg
1151/B,Ignoto,,XVII secolo (?),Apollo e Dafne e Niobidi (?),bronzo,http://93.62.170.226/foto/1151_B recto.jpg
1262/B,Ignoto,,XVI secolo (?),Apollo e Dafne.,piombo,http://93.62.170.226/foto/1262_B.jpg
1126/B,Dall'antico,,XV secolo (?),Apollo e Marsia,bronzo dorato,http://93.62.170.226/foto/1126_B.jpg
1181/B,Dall'antico,,XV secolo,Apollo e Marsia,bronzo,http://93.62.170.226/foto/1181_B part.jpg
1242/B,Dall'antico,,XV secolo,Apollo e Marsia,bronzo,http://93.62.170.226/foto/1242_B.jpg
1212/B,Dall'antico,,,Apollo e Marsia,bronzo dorato,http://93.62.170.226/foto/1212_B.jpg
1274/B,Dall'antico,,post 1429,Apollo e Marsia.,bronzo,http://93.62.170.226/foto/1274_B.jpg
1171/B,(Giovanni Fondulini Fonduli?) Maestro IO.F.F.,,fine XV secolo,Arianna all'isola di Nasso,bronzo dorato,http://93.62.170.226/foto/1171_B.jpg
1129/B,(Giovanni Fondulini Fonduli?) Maestro IO.F.F.,,fine XV secolo,Arianna nell'isola di Nasso,bronzo,http://93.62.170.226/foto/1129_B.jpg
1137/B,(Giovanni Fondulini Fonduli?) Maestro IO.F.F.,,fine XV secolo,Arianna nell'isola di Nasso,bronzo dorato,http://93.62.170.226/foto/1137_B.jpg
1119/B,(Giovanni Fondulini Fonduli?) Maestro IO.F.F.,,fine XV secolo,Arianna nell'isola di Nasso,bronzo dorato,http://93.62.170.226/foto/1119_B.jpg
1193/B,(Giovanni Fondulini Fonduli?) Maestro IO.F.F.,,fine XV secolo,Arianna nell'isola di Nasso,bronzo,http://93.62.170.226/foto/1193_B part.jpg
1306/B,(Giovanni Fondulini Fonduli?) Maestro IO.F.F.,,fine XV secolo,Arianna nell'isola di Nasso.,bronzo,http://93.62.170.226/foto/1306_B 2.jpg
0103/LE,,,XIX secolo,Astuccio d’almanacco piemontese,pelle,http://93.62.170.226/foto/103LE.jpg
0044/LE,,Torino,XVIII secolo,Astuccio della legatura della Bottega dei Regi Archivi su Calendario per la Real Corte,vitello - marocchino - mica,http://93.62.170.226/foto/44LE (145LE).jpg
0057/LE,,Torino,XVIII secolo,Astuccio della legatura della Bottega dei Regi Archivi su Esercizi di cristiana pietà,pelle - marocchino - mica - argento fuso e cesellato,http://93.62.170.226/foto/LE57.jpg
0280/LE,,,XVIII secolo,Astuccio di egatura romana su Uffizio della B.V. Maria dopo l’avvento,pelle granitée - vitellino,http://93.62.170.226/foto/LE280.jpg
0088/LE,,,XVIII secolo,Astuccio di libro devozionale,pelle,http://93.62.170.226/foto/LE88.jpg
0058/LE,,,XVIII secolo,Astuccio di libro devozionale,pelle,http://93.62.170.226/foto/LE58.jpg
0107/CU,,Italia Settentrionale,XV,Astuccio portatile di breviario,cuoio inciso e cesellato - cascame di seta,http://93.62.170.226/foto/CU107ter.jpg
0117/CU,,Italia Settentrionale,seconda metà XV secolo,Astuccio portatile di libro di devozione,cuoio inciso e cesellato - pelle,http://93.62.170.226/foto/CU117.jpg
1279/B,Dall'antico (?),,XV secolo,Attila.,bronzo,http://93.62.170.226/foto/1279_B.jpg
1302/B,Dall'antico (?),,XV secolo,Attila.,bronzo,http://93.62.170.226/foto/1302_B part.jpg
1303/B,Dall'antico (?),,XV secolo,Attila.,bronzo,http://93.62.170.226/foto/1303_B.jpg
